X,Y,FID,LICENSEE,CALLSIGN,LOCNUM,LAT_DMS,LATDIR,LON_DMS,LONDIR,LOCADD,LOCCITY,LOCCOUNTY,LOCSTATE,NEPA,QZONE,TOWREG,SUPSTRUC,ALLSTRUC,STRUCTYPE,LIC_ID
-64.946697916575545,18.35500290006382,10001,"OCC ACQUISITIONS, INC",KPF866,1,"18,21,18",N,"64,56,48",W,SIGNAL HILL,NR ST PETER, ,VI,N, , ,6,6, ,1119171
-149.902223026771225,61.191901639249302,10002,"AFFILIATED MEDIA, INC. FCC TRUST",KPF869,1,"61,11,31",N,"149,54,8",W,1007 W. 32ND AVE.,ANCHORAGE, ,AK,N, , ,119,119, ,1119174
-66.109698279052282,18.467202913883394,10003,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPF873,1,"18,28,2",N,"66,6,35",W,FUERTE SAN CRISTOBAL,OLD SAN JUAN, ,PR,N, , ,15,15, ,1119177
-70.009700348692093,44.154209040315045,10004,"WGME LICENSEE, LLC",KPF913,1,"44,9,15",N,"70,0,35",W,DANFORTH HILL,LITCHFIELD,KENNEBEC,ME,N, , ,195,195, ,1119211
-70.009700348692093,44.154209040315045,10005,"WGME LICENSEE, LLC",KPF913,2,"44,9,15",N,"70,0,35",W, , ,CUMBERLAND,ME, , , ,0,0, ,1119211
-66.55359841143752,18.152002814278479,10006,"WPAB, INC.",KSK902,1,"18,9,7",N,"66,33,13",W,CERRO MARAVILLE,JAYUYA, ,PR,N, , ,0,0, ,1124030
-70.320000429176446,43.758908958381767,10007,"WGME LICENSEE, LLC",KPF914,1,"43,45,32",N,"70,19,12",W,BLACKSTRAP HILL,FALMOUTH,CUMBERLAND,ME,N, , ,49,86.8, ,1119212
-67.145798595528731,18.205602820114105,10008,ARSO RADIO CORPORATION,KSK904,1,"18,12,20",N,"67,8,45",W, ,MAYAGUEZ, ,PR,N, , ,0,0, ,1124032
-70.256400403755606,43.690808947574915,10009,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",KPF939,1,"43,41,27",N,"70,15,23",W,WMGX TRANSMITTER SITE 189 PRESUMPSCOT ST,PORTLAND,CUMBERLAND,ME,N, ,1022667,75,75, ,1119232
-165.413324404297811,64.500298806744581,10010,ARCTIC BROADCASTING ASSOCIATION,KSM713,1,"64,30,1",N,"165,24,48",W, ,NOME, ,AK,N, , ,0,0, ,1124042
