Sprint Current ALV :Thu Oct 27 2022 09:29:34 GMT+0600 (Bangladesh Standard Time)
EventTime,SiteName,EventName,Reason,SubCenter,Region,Acknowledge,GPSeeker,Generator,SRMSNO,MWLink,SiteClass,SiteCategory,NTTN,HRS,VendorType,PlannedWork,NodeName,SRMSHoldingGroup,SiteType
27/10/2022 09:27:23,BGDNP1,2G Site Down,Transmission,KHULNA_EAST,KHULNA,,,,,BGDNP1>BGCNB1>BGSGM1>BGKJA1>BGCOS1,,C,,,ZI,,,,
27/10/2022 09:27:19,BHSMZ1,2G Site Down,Power,BHOLA,KHULNA,,,,,BHSMZ1>BHMDZ1>BHCFN1>BHLHD1>BHMGS1>BHKNJ1>BHMZK1>BHTBG1>BHBTT1>BHNRM1,,C,,,ZI,,,,
27/10/2022 09:27:16,MDKAL2,2G Site Down,Power,FARIDPUR,KHULNA,,,,,MDKAL2>MDKAL1,Z3,B,,,ZI,,,,
27/10/2022 09:27:15,NOMNS1,4G Site Down,Transmission,NOAKHALI,CHITTAGONG,,E.CO_KPI+NOMJD24+DC Shared,,,NOMNS1>NOMJD4>NOHMH1>NOMNB1>NOMJDT,PG0,C,,,ZI,,,,
27/10/2022 09:27:15,PPCRG1,4G Site Down,Power,BARISAL,KHULNA,,,,,PPCRG1>BRNCP1>BRKKC1>PPGKL1>PPMTB5>PPTSKT,,C,,,ZI,,,,
27/10/2022 09:27:15,PPDOA1,4G Site Down,Power,BARISAL,KHULNA,,,,,PPDOA1>PPVDR1,Z4,C,,,ZI,,,,
27/10/2022 09:27:15,PPRJP1,4G Site Down,Transmission,BARISAL,KHULNA,,,,,PPRJP1>PPEKR1>PPMRK1>PPSAF1>PPTSKT,,C,,,ZI,,,,
27/10/2022 09:27:10,NOSUL1L21B,4G Cell Down,Transmission,NOAKHALI,CHITTAGONG,,,,,NOSUL1>NOSHB1>NOAKR1>NOHRT1,,C,,,ZI,,,,
27/10/2022 09:27:06,BGDNP1,4G Site Down,Transmission,KHULNA_EAST,KHULNA,,,,,BGDNP1>BGCNB1>BGSGM1>BGKJA1>BGCOS1,,C,,,ZI,,,,
27/10/2022 09:26:55,FNAMT1,2G Site Down,Transmission,NOAKHALI,CHITTAGONG,,,,,FNAMT1>FNBRC1>FNTWNR,PG0,C,,,ZI,,,,
27/10/2022 09:26:52,JSKPS1L18C,4G Cell Down,Transmission,KHULNA_WEST,KHULNA,,,,,JSKPS1>JSMKL1>JSNOP3,,C,,,ZI,,,,
27/10/2022 09:26:32,BHABJ1,2G Site Down,Power,BHOLA,KHULNA,,,,,BHABJ1>BHLMN1>BHDAO1>BHKNJ1>BHBHG1>BHNRM1,,C,,,,,,,
27/10/2022 09:26:28,SPSTP1L21B,4G Cell Down,Transmission,FARIDPUR,KHULNA,,,,,SPSTP1>SPVMK1>SPLNS1>MDCHLT>MDSMD1,,C,,,ZI,,,,
27/10/2022 09:26:27,CGAMH1L21A,4G Cell Down,Transmission,CG_WEST,CHITTAGONG,,BL_KPI+CTG_X0933+DC Shared,,,CGAMH1>CGJGN1>CGGOH1>CGUTM1>CGDMS1>CGMDG1,,C,,,ZI,,,,
27/10/2022 09:26:27,CGAMH1L21B,4G Cell Down,Transmission,CG_WEST,CHITTAGONG,,BL_KPI+CTG_X0933+DC Shared,,,CGAMH1>CGJGN1>CGGOH1>CGUTM1>CGDMS1>CGMDG1,,C,,,ZI,,,,
27/10/2022 09:26:27,CGAMH1L21C,4G Cell Down,Transmission,CG_WEST,CHITTAGONG,,BL_KPI+CTG_X0933+DC Shared,,,CGAMH1>CGJGN1>CGGOH1>CGUTM1>CGDMS1>CGMDG1,,C,,,ZI,,,,
27/10/2022 09:26:26,CGAMH1L18C,4G Cell Down,Transmission,CG_WEST,CHITTAGONG,,BL_KPI+CTG_X0933+DC Shared,,,CGAMH1>CGJGN1>CGGOH1>CGUTM1>CGDMS1>CGMDG1,,C,,,ZI,,,,
27/10/2022 09:26:25,FPGBN1L21A,4G Cell Down,Transmission,FARIDPUR,KHULNA,,,,,FPGBN1>FPBBB1>FPGLM2,,C,,,ZI,,,,
27/10/2022 09:26:25,FPGBN1L21B,4G Cell Down,Transmission,FARIDPUR,KHULNA,,,,,FPGBN1>FPBBB1>FPGLM2,,C,,,ZI,,,,
27/10/2022 09:26:13,FNAMT1,4G Site Down,Transmission,NOAKHALI,CHITTAGONG,,,,,FNAMT1>FNBRC1>FNTWNR,PG0,C,,,ZI,,,,
27/10/2022 09:26:13,BHABJ1,4G Site Down,Power,BHOLA,KHULNA,,,,,BHABJ1>BHLMN1>BHDAO1>BHKNJ1>BHBHG1>BHNRM1,,C,,,,,,,
27/10/2022 09:26:13,KSJLP2,2G Site Down,Transmission,BHAIRAB,SYLHET,,,,,KSJLP2>KSTWN3>KSTWNR,,B,,,ZI,,,,
27/10/2022 09:25:58,JSKPS1L21A,4G Cell Down,Transmission,KHULNA_WEST,KHULNA,,,,,JSKPS1>JSMKL1>JSNOP3,,C,,,ZI,,,,
27/10/2022 09:25:55,CMMRM1,4G Site Down,Power,COMILLA_METRO,CHITTAGONG,,,,,CMMRM1>CMKSP1>CMHSB1>NOBSR1,,C,,,ZI,,,,
27/10/2022 09:25:46,CGORN1L18B,4G Cell Down,Transmission,CG_CENTRAL,CHITTAGONG,,,,,CGORN1,VIP,B,,,ZI,,,,
27/10/2022 09:25:46,CGORN1L18C,4G Cell Down,Transmission,CG_CENTRAL,CHITTAGONG,,,,,CGORN1,VIP,B,,,ZI,,,,
